Airline,Flight Number,Aircraft,Status,Departure,Departure Date,Gate/Terminal,Arrival,Arrival Date,Flight URL,Departure Delay Status,Arrival Delay Status
,,,,,,,,,https://www.flightaware.com/live/flight/id/AXB170-1744426574-adhoc-917p%3a0,(on time),(on time)
,,,,,,,,,https://www.flightaware.com/live/flight/id/AIC409-1744425806-adhoc-1773p%3a0,(on time),(on time)
,,,,,,,,,https://www.flightaware.com/live/flight/id/AIC2651-1744252280-airline-4399p%3a0,(4 hours 13 minutes late),(4 hours 19 minutes late)
,,,,,,,,,https://www.flightaware.com/live/flight/id/AIC819-1744364423-adhoc-2315p%3a0,(on time),(on time)
,,,,,,,,,https://www.flightaware.com/live/flight/id/AIC2801-1744169491-schedule-1011p%3a0,(on time),(19 minutes late)
,,,,,,,,,https://www.flightaware.com/live/flight/id/AXB170-1744334332-adhoc-2566p%3a0,(on time),(on time)
,,,,,,,,,https://www.flightaware.com/live/flight/id/BDA403D-1744331752-adhoc-4851p%3a0,(on time),(1 minute late)
,,,,,,,,,https://www.flightaware.com/live/flight/id/AXB508-1744331649-adhoc-1693p%3a0,(on time),(on time)
,,,,,,,,,https://www.flightaware.com/live/flight/id/AXB747-1744307019-adhoc-50p%3a0,(on time),(on time)
,,,,,,,,,https://www.flightaware.com/live/flight/id/IGO9315-1744289849-sw-630p%3a0,(on time),(17 minutes late)
,,,,,,,,,https://www.flightaware.com/live/flight/id/AIC2819-1744090239-airline-1070p%3a0,Unavailable,Unavailable
,,,,,,,,,https://www.flightaware.com/live/flight/id/AIC415-1744260715-adhoc-202p%3a0,(on time),(on time)
,,,,,,,,,https://www.flightaware.com/live/flight/id/AIC2801-1744083200-airline-360p%3a0,(on time),(on time)
,,,,,,,,,https://www.flightaware.com/live/flight/id/AIC2651-1744079595-airline-819p%3a0,(on time),(21 minutes late)
,,,,,,,,,https://www.flightaware.com/live/flight/id/AKJ1146-1744006770-airline-826p%3a0,(on time),(1 hour 10 minutes late)
,,,,,,,,,https://www.flightaware.com/live/flight/id/AKJ1350-1744006770-airline-847p,(on time),(44 minutes late)
,,,,,,,,,https://www.flightaware.com/live/flight/id/SEJ9951-1744213207-adhoc-5972p%3a0,(8 minutes early),(8 minutes early)
,,,,,,,,,https://www.flightaware.com/live/flight/id/AIC817-1744197260-adhoc-1793p%3a0,(on time),(on time)
,,,,,,,,,https://www.flightaware.com/live/flight/id/AKJ133E-1744180510-adhoc-1025p%3a0,(5 minutes early),(5 minutes early)
,,,,,,,,,https://www.flightaware.com/live/flight/id/AKJ1335-1744006770-airline-844p,(on time),(28 minutes late)
